縣市,鄉鎮市區,村里,所得平均數_萬元,所得中位數_萬元,目標年齡層佔比_百分比,附近核心商場/商圈,latitude,longitude
台南市,歸仁區,第293里,137.1,108.7,27.0,台南市歸仁區核心商圈,22.967,120.1738
高雄市,新興區,第293里,140.5,112.3,25.8,高雄市新興區核心商圈,22.6327,120.2397
屏東縣,里港鄉,第293里,95.4,69.1,27.7,屏東縣里港鄉核心商圈,22.7283,120.4841
宜蘭縣,頭城鎮,第293里,111.2,80.6,22.5,宜蘭縣頭城鎮核心商圈,24.7069,121.6739
花蓮縣,花蓮市,第293里,88.6,67.7,25.4,花蓮縣花蓮市核心商圈,23.9934,121.6736
台東縣,達仁鄉,第293里,85.7,66.1,28.7,台東縣達仁鄉核心商圈,22.7738,121.2
澎湖縣,馬公市,第293里,82.2,61.6,24.8,澎湖縣馬公市核心商圈,23.6336,119.5189
金門縣,金寧鄉,第293里,106.6,77.1,28.3,金門縣金寧鄉核心商圈,24.5112,118.4049
連江縣,莒光鄉,第293里,89.3,65.6,24.7,連江縣莒光鄉核心商圈,26.0749,119.9122
台北市,大同區,第294里,132.2,104.7,34.6,台北市大同區核心商圈,25.0604,121.6352
新北市,新店區,第294里,171.5,130.8,31.5,新北市新店區核心商圈,24.9609,121.5258
基隆市,信義區,第294里,99.1,70.6,28.2,基隆市信義區核心商圈,25.1275,121.8078
桃園市,八德區,第294里,136.7,109.4,29.7,桃園市八德區核心商圈,25.027,121.264
新竹市,東區,第294里,210.5,176.8,35.7,新竹市東區核心商圈,24.756,121.0831
新竹縣,關西鎮,第294里,186.3,146.5,33.5,新竹縣關西鎮核心商圈,24.863,120.9955
苗栗縣,獅潭鄉,第294里,82.8,62.3,26.0,苗栗縣獅潭鄉核心商圈,24.5941,120.7479
台中市,東勢區,第294里,140.4,101.6,32.8,台中市東勢區核心商圈,24.24,120.6745
彰化縣,溪州鄉,第294里,87.6,67.3,22.9,彰化縣溪州鄉核心商圈,24.1336,120.48
南投縣,南投市,第294里,102.8,74.3,26.1,南投縣南投市核心商圈,23.8313,120.7131
雲林縣,大埤鄉,第294里,97.6,72.1,24.0,雲林縣大埤鄉核心商圈,23.6734,120.4769
嘉義市,東區,第294里,105.7,80.1,27.3,嘉義市東區核心商圈,23.5109,120.4873
嘉義縣,義竹鄉,第294里,87.1,61.2,26.5,嘉義縣義竹鄉核心商圈,23.4449,120.255
台南市,新市區,第294里,167.8,134.1,25.1,台南市新市區核心商圈,22.986,120.218
高雄市,小港區,第294里,152.3,110.4,29.0,高雄市小港區核心商圈,22.7152,120.3461
屏東縣,內埔鄉,第294里,89.8,69.2,28.0,屏東縣內埔鄉核心商圈,22.6851,120.4664
宜蘭縣,宜蘭市,第294里,92.1,71.6,25.2,宜蘭縣宜蘭市核心商圈,24.7384,121.782
花蓮縣,吉安鄉,第294里,96.7,73.2,27.8,花蓮縣吉安鄉核心商圈,24.0234,121.687
台東縣,綠島鄉,第294里,107.0,83.0,26.4,台東縣綠島鄉核心商圈,22.7086,121.099
澎湖縣,望安鄉,第294里,94.4,73.0,24.5,澎湖縣望安鄉核心商圈,23.6401,119.5789
金門縣,金湖鎮,第294里,119.3,91.6,23.9,金門縣金湖鎮核心商圈,24.4716,118.3075
連江縣,南竿鄉,第294里,104.6,73.3,27.7,連江縣南竿鄉核心商圈,26.1019,119.9627
台北市,文山區,第295里,145.5,116.2,32.1,台北市文山區核心商圈,25.0606,121.5443
新北市,鶯歌區,第295里,116.7,87.0,27.5,新北市鶯歌區核心商圈,25.0203,121.4689
基隆市,安樂區,第295里,84.1,59.5,23.2,基隆市安樂區核心商圈,25.0569,121.7773
桃園市,龜山區,第295里,133.9,103.9,32.5,桃園市龜山區核心商圈,24.9924,121.3278
新竹市,東區,第295里,141.6,110.9,34.8,新竹市東區核心商圈,24.8299,121.0221
新竹縣,竹東鎮,第295里,122.7,98.3,31.8,新竹縣竹東鎮核心商圈,24.7776,121.0761
苗栗縣,三義鄉,第295里,97.0,71.4,28.9,苗栗縣三義鄉核心商圈,24.5545,120.7981
台中市,東區,第295里,152.3,116.7,32.5,台中市東區核心商圈,24.1306,120.6349
彰化縣,秀水鄉,第295里,111.9,83.5,27.7,彰化縣秀水鄉核心商圈,24.0512,120.4816
南投縣,埔里鎮,第295里,118.3,89.5,26.5,南投縣埔里鎮核心商圈,23.9126,120.733
雲林縣,大埤鄉,第295里,83.9,63.5,26.5,雲林縣大埤鄉核心商圈,23.6247,120.3651
嘉義市,西區,第295里,90.0,69.8,22.1,嘉義市西區核心商圈,23.4497,120.4605
嘉義縣,義竹鄉,第295里,92.1,69.0,22.3,嘉義縣義竹鄉核心商圈,23.508,120.3657
台南市,玉井區,第295里,156.3,112.1,25.4,台南市玉井區核心商圈,23.0491,120.2681
高雄市,大樹區,第295里,111.0,78.1,27.4,高雄市大樹區核心商圈,22.6141,120.356
屏東縣,牡丹鄉,第295里,102.4,71.9,27.8,屏東縣牡丹鄉核心商圈,22.6877,120.4875
宜蘭縣,五結鄉,第295里,112.4,81.6,25.5,宜蘭縣五結鄉核心商圈,24.7648,121.8048
花蓮縣,光復鄉,第295里,108.4,77.2,28.8,花蓮縣光復鄉核心商圈,23.9161,121.6689
台東縣,金峰鄉,第295里,85.9,64.5,23.1,台東縣金峰鄉核心商圈,22.769,121.1907
澎湖縣,白沙鄉,第295里,100.4,76.9,28.9,澎湖縣白沙鄉核心商圈,23.5822,119.6176
金門縣,烏坵鄉,第295里,115.4,83.1,25.0,金門縣烏坵鄉核心商圈,24.5124,118.3922
連江縣,北竿鄉,第295里,93.8,72.3,23.8,連江縣北竿鄉核心商圈,26.0789,119.8901
台北市,文山區,第296里,200.4,162.7,34.2,台北市文山區核心商圈,24.9744,121.5636
新北市,平溪區,第296里,135.5,99.8,31.3,新北市平溪區核心商圈,24.973,121.4551
基隆市,中山區,第296里,97.8,69.0,23.3,基隆市中山區核心商圈,25.0472,121.6647
桃園市,觀音區,第296里,148.9,110.6,32.5,桃園市觀音區核心商圈,25.0062,121.2445
新竹市,北區,第296里,294.5,222.9,29.8,新竹市北區核心商圈,24.8575,120.9365
新竹縣,橫山鄉,第296里,123.4,90.1,31.4,新竹縣橫山鄉核心商圈,24.8647,120.9777
苗栗縣,獅潭鄉,第296里,97.6,74.2,23.1,苗栗縣獅潭鄉核心商圈,24.6396,120.8682
台中市,中區,第296里,178.3,130.8,26.9,台中市中區核心商圈,24.1902,120.6901
彰化縣,大村鄉,第296里,117.1,82.9,27.2,彰化縣大村鄉核心商圈,24.0894,120.5924
南投縣,國姓鄉,第296里,97.7,70.0,27.5,南投縣國姓鄉核心商圈,23.8771,120.6307
雲林縣,古坑鄉,第296里,114.7,82.5,22.6,雲林縣古坑鄉核心商圈,23.71,120.4817
嘉義市,西區,第296里,100.1,74.2,23.4,嘉義市西區核心商圈,23.4843,120.5107
嘉義縣,大埔鄉,第296里,111.9,86.8,28.7,嘉義縣大埔鄉核心商圈,23.522,120.3343
台南市,麻豆區,第296里,160.8,114.2,28.7,台南市麻豆區核心商圈,22.9652,120.1749
高雄市,永安區,第296里,170.9,125.7,30.4,高雄市永安區核心商圈,22.6925,120.2626
屏東縣,里港鄉,第296里,96.2,69.9,28.2,屏東縣里港鄉核心商圈,22.666,120.5322
宜蘭縣,頭城鎮,第296里,87.0,67.2,25.2,宜蘭縣頭城鎮核心商圈,24.7976,121.7893
花蓮縣,玉里鎮,第296里,116.1,90.4,24.2,花蓮縣玉里鎮核心商圈,23.899,121.5897
台東縣,延平鄉,第296里,111.4,85.4,22.1,台東縣延平鄉核心商圈,22.7136,121.1808
澎湖縣,白沙鄉,第296里,112.7,79.8,23.9,澎湖縣白沙鄉核心商圈,23.5005,119.4811
金門縣,金寧鄉,第296里,116.6,82.1,28.2,金門縣金寧鄉核心商圈,24.3769,118.3921
連江縣,北竿鄉,第296里,118.8,86.0,28.1,連江縣北竿鄉核心商圈,26.2003,119.948
台北市,士林區,第297里,196.6,167.1,28.0,台北市士林區核心商圈,24.9839,121.5888
新北市,淡水區,第297里,143.2,111.0,28.6,新北市淡水區核心商圈,24.9788,121.5382
基隆市,信義區,第297里,82.7,59.7,22.6,基隆市信義區核心商圈,25.1753,121.6794
桃園市,觀音區,第297里,131.3,107.2,30.8,桃園市觀音區核心商圈,24.9383,121.3095
新竹市,北區,第297里,182.4,147.0,35.0,新竹市北區核心商圈,24.8417,120.9447
新竹縣,竹北市,第297里,109.6,88.7,26.8,新竹縣竹北市核心商圈,24.7448,120.9627
苗栗縣,三義鄉,第297里,109.0,77.0,24.1,苗栗縣三義鄉核心商圈,24.5892,120.8502
台中市,中區,第297里,159.2,119.7,31.9,台中市中區核心商圈,24.153,120.7134
彰化縣,埤頭鄉,第297里,100.7,77.3,26.4,彰化縣埤頭鄉核心商圈,24.0927,120.6037
南投縣,中寮鄉,第297里,103.9,79.2,25.0,南投縣中寮鄉核心商圈,23.8847,120.679
雲林縣,大埤鄉,第297里,94.7,71.8,24.0,雲林縣大埤鄉核心商圈,23.775,120.4026
嘉義市,東區,第297里,108.1,81.1,23.6,嘉義市東區核心商圈,23.5106,120.4725
嘉義縣,大林鎮,第297里,88.7,62.6,28.5,嘉義縣大林鎮核心商圈,23.5359,120.2822
台南市,歸仁區,第297里,175.8,130.2,26.0,台南市歸仁區核心商圈,22.9343,120.2415
高雄市,小港區,第297里,152.7,110.0,25.8,高雄市小港區核心商圈,22.5761,120.3348
屏東縣,新埤鄉,第297里,103.2,74.2,22.4,屏東縣新埤鄉核心商圈,22.696,120.5434
宜蘭縣,南澳鄉,第297里,115.5,87.2,25.9,宜蘭縣南澳鄉核心商圈,24.7468,121.7104
花蓮縣,新城鄉,第297里,117.0,86.7,27.1,花蓮縣新城鄉核心商圈,23.9338,121.5836
台東縣,關山鎮,第297里,105.7,79.0,26.0,台東縣關山鎮核心商圈,22.7322,121.161
澎湖縣,望安鄉,第297里,115.1,84.1,27.1,澎湖縣望安鄉核心商圈,23.5184,119.4982
金門縣,烈嶼鄉,第297里,95.4,72.5,22.9,金門縣烈嶼鄉核心商圈,24.4251,118.3976
連江縣,莒光鄉,第297里,83.6,64.7,27.0,連江縣莒光鄉核心商圈,26.1957,119.9717
台北市,南港區,第298里,195.9,164.1,28.5,台北市南港區核心商圈,25.1039,121.6385
新北市,五股區,第298里,148.9,109.2,32.7,新北市五股區核心商圈,25.0769,121.5111
基隆市,中山區,第298里,91.0,67.4,22.4,基隆市中山區核心商圈,25.1968,121.7679
桃園市,桃園區,第298里,116.1,91.7,27.3,桃園市桃園區核心商圈,25.0501,121.3102
新竹市,東區,第298里,157.8,122.2,32.1,新竹市東區核心商圈,24.7276,120.9859
新竹縣,寶山鄉,第298里,136.0,110.3,30.7,新竹縣寶山鄉核心商圈,24.7729,121.0566
苗栗縣,三灣鄉,第298里,110.7,85.0,25.9,苗栗縣三灣鄉核心商圈,24.5699,120.8983
台中市,大肚區,第298里,116.6,89.2,30.3,台中市大肚區核心商圈,24.0886,120.6934
彰化縣,伸港鄉,第298里,112.9,85.6,27.4,彰化縣伸港鄉核心商圈,24.1458,120.4935
南投縣,仁愛鄉,第298里,114.0,85.9,27.7,南投縣仁愛鄉核心商圈,23.8748,120.7214
雲林縣,斗六市,第298里,94.3,66.8,23.2,雲林縣斗六市核心商圈,23.7631,120.4818
嘉義市,東區,第298里,83.8,60.4,22.7,嘉義市東區核心商圈,23.3989,120.4949
嘉義縣,大林鎮,第298里,113.8,86.5,27.0,嘉義縣大林鎮核心商圈,23.5162,120.3134
台南市,學甲區,第298里,176.9,126.3,31.2,台南市學甲區核心商圈,22.9788,120.232
高雄市,苓雅區,第298里,148.8,115.6,31.7,高雄市苓雅區核心商圈,22.5988,120.3791
屏東縣,泰武鄉,第298里,105.9,79.5,27.0,屏東縣泰武鄉核心商圈,22.7355,120.5256
宜蘭縣,壯圍鄉,第298里,88.5,63.3,25.1,宜蘭縣壯圍鄉核心商圈,24.6763,121.7224
花蓮縣,新城鄉,第298里,104.7,79.1,26.4,花蓮縣新城鄉核心商圈,24.0007,121.6897
台東縣,蘭嶼鄉,第298里,102.2,73.7,28.0,台東縣蘭嶼鄉核心商圈,22.717,121.1837
澎湖縣,七美鄉,第298里,84.5,63.6,22.9,澎湖縣七美鄉核心商圈,23.5411,119.5124
金門縣,金湖鎮,第298里,106.1,78.8,24.9,金門縣金湖鎮核心商圈,24.3607,118.3592
連江縣,北竿鄉,第298里,100.7,74.4,26.6,連江縣北竿鄉核心商圈,26.1721,119.9474
台北市,中正區,第299里,254.0,191.9,31.9,台北市中正區核心商圈,25.0987,121.6244
新北市,三峽區,第299里,118.8,92.5,28.7,新北市三峽區核心商圈,24.9802,121.3946
基隆市,信義區,第299里,97.8,70.9,26.8,基隆市信義區核心商圈,25.1771,121.7676
桃園市,桃園區,第299里,112.3,82.6,26.2,桃園市桃園區核心商圈,24.994,121.2386
新竹市,香山區,第299里,247.2,192.3,32.0,新竹市香山區核心商圈,24.7682,120.9602
新竹縣,新豐鄉,第299里,131.0,103.5,26.4,新竹縣新豐鄉核心商圈,24.7766,121.0741
苗栗縣,西湖鄉,第299里,82.7,58.7,26.6,苗栗縣西湖鄉核心商圈,24.507,120.7448
台中市,太平區,第299里,155.5,117.5,30.0,台中市太平區核心商圈,24.2348,120.6507
彰化縣,芳苑鄉,第299里,118.7,84.9,26.9,彰化縣芳苑鄉核心商圈,24.0201,120.5797
南投縣,集集鎮,第299里,108.6,79.6,27.1,南投縣集集鎮核心商圈,23.93,120.7263
雲林縣,斗南鎮,第299里,84.7,65.5,24.6,雲林縣斗南鎮核心商圈,23.7604,120.4674
嘉義市,東區,第299里,119.3,85.4,28.9,嘉義市東區核心商圈,23.5042,120.4528
嘉義縣,朴子市,第299里,83.1,60.9,28.4,嘉義縣朴子市核心商圈,23.3821,120.2537
台南市,大內區,第299里,122.5,97.2,29.5,台南市大內區核心商圈,22.9748,120.1546
高雄市,鼓山區,第299里,166.7,124.6,26.3,高雄市鼓山區核心商圈,22.6883,120.235
屏東縣,長治鄉,第299里,87.0,61.7,26.7,屏東縣長治鄉核心商圈,22.6666,120.4516
宜蘭縣,壯圍鄉,第299里,101.9,77.0,25.0,宜蘭縣壯圍鄉核心商圈,24.8252,121.7148
花蓮縣,秀林鄉,第299里,111.5,85.0,22.2,花蓮縣秀林鄉核心商圈,23.971,121.6205
台東縣,延平鄉,第299里,117.0,82.7,24.2,台東縣延平鄉核心商圈,22.7673,121.1218
澎湖縣,湖西鄉,第299里,95.9,74.7,28.0,澎湖縣湖西鄉核心商圈,23.5499,119.5394
金門縣,金沙鎮,第299里,84.4,63.7,25.4,金門縣金沙鎮核心商圈,24.3898,118.4489
連江縣,南竿鄉,第299里,119.0,92.6,28.3,連江縣南竿鄉核心商圈,26.1208,119.8901
台北市,中正區,第300里,217.3,172.4,33.8,台北市中正區核心商圈,25.0604,121.4906
新北市,土城區,第300里,122.8,100.4,32.3,新北市土城區核心商圈,25.0344,121.4353
基隆市,信義區,第300里,89.3,63.4,28.3,基隆市信義區核心商圈,25.1149,121.7286
桃園市,楊梅區,第300里,126.9,97.2,29.9,桃園市楊梅區核心商圈,24.9555,121.2405
新竹市,北區,第300里,306.4,230.9,32.3,新竹市北區核心商圈,24.7821,120.9723
新竹縣,尖石鄉,第300里,143.7,104.5,33.6,新竹縣尖石鄉核心商圈,24.8869,121.0485
苗栗縣,西湖鄉,第300里,82.2,59.8,27.5,苗栗縣西湖鄉核心商圈,24.5159,120.7774
台中市,中區,第300里,124.9,99.8,28.9,台中市中區核心商圈,24.2063,120.6635
彰化縣,溪州鄉,第300里,84.9,59.8,25.4,彰化縣溪州鄉核心商圈,24.0413,120.5909
南投縣,集集鎮,第300里,105.8,76.5,22.4,南投縣集集鎮核心商圈,23.9087,120.722
雲林縣,臺西鄉,第300里,114.8,84.6,25.1,雲林縣臺西鄉核心商圈,23.7609,120.469
嘉義市,西區,第300里,97.2,74.8,25.8,嘉義市西區核心商圈,23.4643,120.4702
嘉義縣,番路鄉,第300里,95.4,72.4,27.0,嘉義縣番路鄉核心商圈,23.4911,120.3029
台南市,北區,第300里,129.5,93.1,30.8,台南市北區核心商圈,22.9965,120.26
高雄市,桃源區,第300里,129.1,101.4,25.4,高雄市桃源區核心商圈,22.653,120.2844
屏東縣,枋寮鄉,第300里,116.4,87.8,26.0,屏東縣枋寮鄉核心商圈,22.5918,120.5518
宜蘭縣,三星鄉,第300里,100.5,75.8,24.4,宜蘭縣三星鄉核心商圈,24.7929,121.8114
花蓮縣,光復鄉,第300里,96.7,73.1,27.2,花蓮縣光復鄉核心商圈,24.0038,121.6846
台東縣,成功鎮,第300里,115.3,85.4,25.7,台東縣成功鎮核心商圈,22.7429,121.1274
澎湖縣,馬公市,第300里,102.5,73.1,26.9,澎湖縣馬公市核心商圈,23.5804,119.6216
金門縣,烏坵鄉,第300里,91.3,69.2,27.8,金門縣烏坵鄉核心商圈,24.4238,118.3569
連江縣,莒光鄉,第300里,90.7,69.5,24.4,連江縣莒光鄉核心商圈,26.0819,119.8939
台北市,士林區,第301里,200.5,154.2,28.3,台北市士林區核心商圈,25.0246,121.6287
新北市,八里區,第301里,117.7,91.9,33.9,新北市八里區核心商圈,25.0134,121.4938
基隆市,暖暖區,第301里,94.7,71.6,28.7,基隆市暖暖區核心商圈,25.1824,121.7398
桃園市,觀音區,第301里,162.7,127.7,27.1,桃園市觀音區核心商圈,24.985,121.2831
新竹市,香山區,第301里,259.2,219.0,35.5,新竹市香山區核心商圈,24.8388,121.075
新竹縣,芎林鄉,第301里,182.3,139.5,31.8,新竹縣芎林鄉核心商圈,24.8144,121.0667
苗栗縣,竹南鎮,第301里,100.6,71.4,24.7,苗栗縣竹南鎮核心商圈,24.5501,120.8932
台中市,和平區,第301里,128.4,99.5,26.5,台中市和平區核心商圈,24.1676,120.6863
彰化縣,埔心鄉,第301里,97.8,76.2,28.1,彰化縣埔心鄉核心商圈,24.0108,120.5149
南投縣,名間鄉,第301里,115.3,81.6,22.0,南投縣名間鄉核心商圈,23.9385,120.6404
雲林縣,莿桐鄉,第301里,109.2,77.5,22.7,雲林縣莿桐鄉核心商圈,23.6735,120.4132
嘉義市,東區,第301里,97.7,73.0,26.0,嘉義市東區核心商圈,23.458,120.5124
嘉義縣,阿里山鄉,第301里,96.4,72.2,27.9,嘉義縣阿里山鄉核心商圈,23.391,120.2272
台南市,六甲區,第301里,104.3,78.6,30.5,台南市六甲區核心商圈,22.9555,120.1633
高雄市,苓雅區,第301里,120.9,90.5,28.6,高雄市苓雅區核心商圈,22.7255,120.3579
屏東縣,獅子鄉,第301里,82.9,63.7,28.3,屏東縣獅子鄉核心商圈,22.723,120.5255
宜蘭縣,羅東鎮,第301里,94.6,66.5,24.0,宜蘭縣羅東鎮核心商圈,24.6766,121.7989
花蓮縣,玉里鎮,第301里,87.1,66.9,25.7,花蓮縣玉里鎮核心商圈,23.9054,121.63
台東縣,金峰鄉,第301里,85.7,63.6,22.4,台東縣金峰鄉核心商圈,22.6965,121.1884
澎湖縣,馬公市,第301里,91.5,69.0,22.3,澎湖縣馬公市核心商圈,23.5198,119.6077
金門縣,金湖鎮,第301里,114.0,85.7,22.6,金門縣金湖鎮核心商圈,24.4702,118.4268
連江縣,北竿鄉,第301里,116.5,84.5,22.4,連江縣北竿鄉核心商圈,26.2207,119.9696
台北市,松山區,第302里,265.4,208.7,34.7,台北市松山區核心商圈,25.0406,121.6228
新北市,樹林區,第302里,179.5,147.0,28.4,新北市樹林區核心商圈,25.0152,121.4487
基隆市,中山區,第302里,86.0,62.9,22.2,基隆市中山區核心商圈,25.0757,121.74
桃園市,復興區,第302里,177.9,128.1,32.3,桃園市復興區核心商圈,25.0099,121.2474
新竹市,東區,第302里,283.7,238.6,35.5,新竹市東區核心商圈,24.7419,120.982
新竹縣,新豐鄉,第302里,137.8,105.1,31.1,新竹縣新豐鄉核心商圈,24.7857,120.9621
苗栗縣,後龍鎮,第302里,100.1,71.6,24.6,苗栗縣後龍鎮核心商圈,24.5896,120.8657
台中市,大肚區,第302里,175.0,139.3,30.3,台中市大肚區核心商圈,24.1184,120.6006
彰化縣,社頭鄉,第302里,92.4,65.3,28.6,彰化縣社頭鄉核心商圈,24.1473,120.4826
南投縣,埔里鎮,第302里,89.1,65.9,26.1,南投縣埔里鎮核心商圈,23.9388,120.6663
雲林縣,四湖鄉,第302里,90.2,69.6,22.9,雲林縣四湖鄉核心商圈,23.6548,120.5031
嘉義市,東區,第302里,101.3,71.9,25.7,嘉義市東區核心商圈,23.5152,120.4739
嘉義縣,大林鎮,第302里,102.9,76.5,27.6,嘉義縣大林鎮核心商圈,23.4917,120.2845
台南市,楠西區,第302里,145.6,115.9,29.2,台南市楠西區核心商圈,22.9701,120.1992
高雄市,大寮區,第302里,121.5,96.9,29.3,高雄市大寮區核心商圈,22.6457,120.3602
屏東縣,春日鄉,第302里,104.0,80.5,22.3,屏東縣春日鄉核心商圈,22.5946,120.5311
宜蘭縣,冬山鄉,第302里,92.6,71.6,24.6,宜蘭縣冬山鄉核心商圈,24.6877,121.7156
花蓮縣,秀林鄉,第302里,100.2,72.0,24.8,花蓮縣秀林鄉核心商圈,23.9761,121.6857
台東縣,蘭嶼鄉,第302里,114.2,87.5,24.8,台東縣蘭嶼鄉核心商圈,22.6919,121.1855
澎湖縣,七美鄉,第302里,105.7,79.1,25.1,澎湖縣七美鄉核心商圈,23.5818,119.621
金門縣,烈嶼鄉,第302里,97.6,70.6,25.2,金門縣烈嶼鄉核心商圈,24.4009,118.3772
連江縣,南竿鄉,第302里,102.5,72.6,23.8,連江縣南竿鄉核心商圈,26.2291,119.8635
台北市,大安區,第303里,307.8,258.6,33.9,台北市大安區核心商圈,25.0941,121.5688
新北市,坪林區,第303里,161.5,126.9,30.9,新北市坪林區核心商圈,25.0483,121.4407
基隆市,中山區,第303里,113.7,83.9,24.5,基隆市中山區核心商圈,25.1444,121.7277
桃園市,蘆竹區,第303里,125.8,94.7,30.8,桃園市蘆竹區核心商圈,24.9542,121.2207
新竹市,東區,第303里,235.1,177.4,28.3,新竹市東區核心商圈,24.7577,121.0168
新竹縣,關西鎮,第303里,187.2,138.3,32.2,新竹縣關西鎮核心商圈,24.808,121.0704
苗栗縣,三義鄉,第303里,84.4,61.9,26.7,苗栗縣三義鄉核心商圈,24.6275,120.8293
台中市,和平區,第303里,127.7,95.6,32.5,台中市和平區核心商圈,24.1032,120.5767
彰化縣,埔鹽鄉,第303里,91.4,67.9,22.2,彰化縣埔鹽鄉核心商圈,24.1137,120.5881
南投縣,竹山鎮,第303里,94.5,70.6,27.0,南投縣竹山鎮核心商圈,23.8438,120.6823
雲林縣,東勢鄉,第303里,119.0,86.0,26.0,雲林縣東勢鄉核心商圈,23.7401,120.3968
嘉義市,東區,第303里,108.5,81.6,22.6,嘉義市東區核心商圈,23.3964,120.3608
嘉義縣,溪口鄉,第303里,87.0,66.6,27.4,嘉義縣溪口鄉核心商圈,23.5194,120.2495
台南市,南區,第303里,130.6,98.1,26.7,台南市南區核心商圈,22.9687,120.2
高雄市,旗山區,第303里,112.2,89.4,31.2,高雄市旗山區核心商圈,22.6444,120.3236
屏東縣,九如鄉,第303里,104.0,78.9,25.5,屏東縣九如鄉核心商圈,22.6954,120.5412
宜蘭縣,羅東鎮,第303里,112.5,78.8,28.9,宜蘭縣羅東鎮核心商圈,24.6777,121.7333
花蓮縣,光復鄉,第303里,119.7,90.8,25.5,花蓮縣光復鄉核心商圈,23.985,121.6023
台東縣,達仁鄉,第303里,118.4,85.9,25.5,台東縣達仁鄉核心商圈,22.8079,121.223
澎湖縣,湖西鄉,第303里,94.8,72.3,28.1,澎湖縣湖西鄉核心商圈,23.5535,119.6318
金門縣,金沙鎮,第303里,110.7,78.4,27.5,金門縣金沙鎮核心商圈,24.5055,118.4401
連江縣,莒光鄉,第303里,118.9,91.2,22.1,連江縣莒光鄉核心商圈,26.1807,120.0091
台北市,內湖區,第304里,188.8,148.3,35.8,台北市內湖區核心商圈,25.0996,121.5193
新北市,新莊區,第304里,184.9,137.7,30.0,新北市新莊區核心商圈,25.0719,121.4373
基隆市,七堵區,第304里,86.4,65.5,27.1,基隆市七堵區核心商圈,25.155,121.8011
桃園市,龍潭區,第304里,141.8,102.7,28.3,桃園市龍潭區核心商圈,24.9142,121.2397
新竹市,香山區,第304里,235.7,185.5,29.2,新竹市香山區核心商圈,24.7565,121.0446
新竹縣,竹北市,第304里,190.5,140.8,27.2,新竹縣竹北市核心商圈,24.852,121.0017
苗栗縣,銅鑼鄉,第304里,117.7,89.8,28.3,苗栗縣銅鑼鄉核心商圈,24.5647,120.8174
台中市,東勢區,第304里,153.6,122.1,32.1,台中市東勢區核心商圈,24.2153,120.5827
彰化縣,社頭鄉,第304里,92.2,67.8,22.8,彰化縣社頭鄉核心商圈,23.9943,120.506
南投縣,草屯鎮,第304里,116.7,83.0,24.4,南投縣草屯鎮核心商圈,23.9325,120.728
雲林縣,林內鄉,第304里,84.7,60.1,25.7,雲林縣林內鄉核心商圈,23.6545,120.4504
嘉義市,東區,第304里,88.0,63.4,26.2,嘉義市東區核心商圈,23.5442,120.4089
嘉義縣,太保市,第304里,94.9,72.8,23.6,嘉義縣太保市核心商圈,23.4494,120.2604
台南市,西港區,第304里,127.8,97.9,26.1,台南市西港區核心商圈,22.9011,120.1882
高雄市,大社區,第304里,167.7,118.1,28.2,高雄市大社區核心商圈,22.7193,120.2441
屏東縣,內埔鄉,第304里,119.7,84.9,26.9,屏東縣內埔鄉核心商圈,22.6866,120.4947
宜蘭縣,羅東鎮,第304里,104.1,73.5,22.3,宜蘭縣羅東鎮核心商圈,24.7319,121.7475
花蓮縣,瑞穗鄉,第304里,108.1,77.1,24.3,花蓮縣瑞穗鄉核心商圈,23.9408,121.617
台東縣,金峰鄉,第304里,119.2,91.3,28.6,台東縣金峰鄉核心商圈,22.7082,121.0916
澎湖縣,馬公市,第304里,113.2,84.1,26.8,澎湖縣馬公市核心商圈,23.5157,119.5306
金門縣,烏坵鄉,第304里,92.7,65.7,26.1,金門縣烏坵鄉核心商圈,24.4404,118.3119
連江縣,北竿鄉,第304里,91.7,68.3,24.0,連江縣北竿鄉核心商圈,26.1623,119.8883
台北市,萬華區,第305里,225.9,179.5,28.7,台北市萬華區核心商圈,24.9946,121.5777
新北市,中和區,第305里,188.6,142.1,30.3,新北市中和區核心商圈,25.0167,121.3952
基隆市,仁愛區,第305里,82.3,57.7,23.1,基隆市仁愛區核心商圈,25.1496,121.7402
桃園市,桃園區,第305里,114.6,91.3,29.2,桃園市桃園區核心商圈,24.9467,121.2212
新竹市,東區,第305里,206.1,161.4,30.9,新竹市東區核心商圈,24.7343,121.0451
新竹縣,關西鎮,第305里,156.6,119.9,26.4,新竹縣關西鎮核心商圈,24.795,121.0117
苗栗縣,後龍鎮,第305里,102.9,74.6,26.3,苗栗縣後龍鎮核心商圈,24.5667,120.8086
台中市,南屯區,第305里,162.0,129.3,27.9,台中市南屯區核心商圈,24.2369,120.6302
彰化縣,埔鹽鄉,第305里,94.6,69.8,24.7,彰化縣埔鹽鄉核心商圈,24.0233,120.568
南投縣,集集鎮,第305里,94.4,70.6,26.1,南投縣集集鎮核心商圈,23.9045,120.6045
雲林縣,莿桐鄉,第305里,104.7,77.9,25.4,雲林縣莿桐鄉核心商圈,23.7319,120.3818
嘉義市,東區,第305里,119.7,88.5,27.9,嘉義市東區核心商圈,23.517,120.4018
嘉義縣,阿里山鄉,第305里,118.5,90.6,28.9,嘉義縣阿里山鄉核心商圈,23.4696,120.262
台南市,七股區,第305里,154.8,109.7,29.6,台南市七股區核心商圈,22.9062,120.2629
